,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
31,-1.9937958,-1.9936494,-1.9937133,-1.9937423,-1.9937449,-1.9936215,-1.9937334,-1.9937691,-1.9936363,-1.9937556,-1.9937172,-1.9936678,-1.9937424,-1.9937128,-1.9936269,-1.9937041,-1.9936209,-1.9937084,-1.9936555,-1.9936094,-1.9937938,-1.9937808,-1.9936915,-1.9937528,-1.9937118,-1.9937663,-1.9936631,-1.9936588,-1.9937377,-1.9936205
32,-1.9935958,-1.9934494,-1.9935133,-1.9935423,-1.9935449,-1.9934215,-1.9935334,-1.9935691,-1.9934363,-1.9935556,-1.9935172,-1.9934678,-1.9935424,-1.9935128,-1.9934269,-1.9935041,-1.9934209,-1.9935084,-1.9934555,-1.9934094,-1.9935938,-1.9935808,-1.9934915,-1.9935528,-1.9935118,-1.9935663,-1.9934631,-1.9934588,-1.9935377,-1.9934205
33,-1.9933958,-1.9932494,-1.9933133,-1.9933423,-1.9933449,-1.9932215,-1.9933334,-1.9933691,-1.9932363,-1.9933556,-1.9933172,-1.9932678,-1.9933424,-1.9933128,-1.9932269,-1.9933041,-1.9932209,-1.9933084,-1.9932555,-1.9932094,-1.9933938,-1.9933808,-1.9932915,-1.9933528,-1.9933118,-1.9933663,-1.9932631,-1.9932588,-1.9933377,-1.9932205
34,-1.9931958,-1.9930494,-1.9931133,-1.9931423,-1.9931449,-1.9930215,-1.9931334,-1.9931691,-1.9930363,-1.9931556,-1.9931172,-1.9930678,-1.9931424,-1.9931128,-1.9930269,-1.9931041,-1.9930209,-1.9931084,-1.9930555,-1.9930094,-1.9931938,-1.9931808,-1.9930915,-1.9931528,-1.9931118,-1.9931663,-1.9930631,-1.9930588,-1.9931377,-1.9930205
35,-1.9929958,-1.9928494,-1.9929133,-1.9929423,-1.9929449,-1.9928215,-1.9929334,-1.9929691,-1.9928363,-1.9929556,-1.9929172,-1.9928678,-1.9929424,-1.9929128,-1.9928269,-1.9929041,-1.9928209,-1.9929084,-1.9928555,-1.9928094,-1.9929938,-1.9929808,-1.9928915,-1.9929528,-1.9929118,-1.9929663,-1.9928631,-1.9928588,-1.9929377,-1.9928205
36,-1.9927958,-1.9926494,-1.9927133,-1.9927423,-1.9927449,-1.9926215,-1.9927334,-1.9927691,-1.9926363,-1.9927556,-1.9927172,-1.9926678,-1.9927424,-1.9927128,-1.9926269,-1.9927041,-1.9926209,-1.9927084,-1.9926555,-1.9926094,-1.9927938,-1.9927808,-1.9926915,-1.9927528,-1.9927118,-1.9927663,-1.9926631,-1.9926588,-1.9927377,-1.9926205
37,-1.9925958,-1.9924494,-1.9925133,-1.9925423,-1.9925449,-1.9924215,-1.9925334,-1.9925691,-1.9924363,-1.9925556,-1.9925172,-1.9924678,-1.9925424,-1.9925128,-1.9924269,-1.9925041,-1.9924209,-1.9925084,-1.9924555,-1.9924094,-1.9925938,-1.9925808,-1.9924915,-1.9925528,-1.9925118,-1.9925663,-1.9924631,-1.9924588,-1.9925377,-1.9924205
38,-1.9923958,-1.9922494,-1.9923133,-1.9923423,-1.9923449,-1.9922215,-1.9923334,-1.9923691,-1.9922363,-1.9923556,-1.9923172,-1.9922678,-1.9923424,-1.9923128,-1.9922269,-1.9923041,-1.9922209,-1.9923084,-1.9922555,-1.9922094,-1.9923938,-1.9923808,-1.9922915,-1.9923528,-1.9923118,-1.9923663,-1.9922631,-1.9922588,-1.9923377,-1.9922205
39,-1.9921958,-1.9920494,-1.9921133,-1.9921423,-1.9921449,-1.9920215,-1.9921334,-1.9921691,-1.9920363,-1.9921556,-1.9921172,-1.9920678,-1.9921424,-1.9921128,-1.9920269,-1.9921041,-1.9920209,-1.9921084,-1.9920555,-1.9920094,-1.9921938,-1.9921808,-1.9920915,-1.9921528,-1.9921118,-1.9921663,-1.9920631,-1.9920588,-1.9921377,-1.9920205
40,-1.9919958,-1.9918494,-1.9919133,-1.9919423,-1.9919449,-1.9918215,-1.9919334,-1.9919691,-1.9918363,-1.9919556,-1.9919172,-1.9918678,-1.9919424,-1.9919128,-1.9918269,-1.9919041,-1.9918209,-1.9919084,-1.9918555,-1.9918094,-1.9919938,-1.9919808,-1.9918915,-1.9919528,-1.9919118,-1.9919663,-1.9918631,-1.9918588,-1.9919377,-1.9918205
41,-1.9917958,-1.9916494,-1.9917133,-1.9917423,-1.9917449,-1.9916215,-1.9917334,-1.9917691,-1.9916363,-1.9917556,-1.9917172,-1.9916678,-1.9917424,-1.9917128,-1.9916269,-1.9917041,-1.9916209,-1.9917084,-1.9916555,-1.9916094,-1.9917938,-1.9917808,-1.9916915,-1.9917528,-1.9917118,-1.9917663,-1.9916631,-1.9916588,-1.9917377,-1.9916205
42,-1.9915958,-1.9914494,-1.9915133,-1.9915423,-1.9915449,-1.9914215,-1.9915334,-1.9915691,-1.9914363,-1.9915556,-1.9915172,-1.9914678,-1.9915424,-1.9915128,-1.9914269,-1.9915041,-1.9914209,-1.9915084,-1.9914555,-1.9914094,-1.9915938,-1.9915808,-1.9914915,-1.9915528,-1.9915118,-1.9915663,-1.9914631,-1.9914588,-1.9915377,-1.9914205
43,-1.9913958,-1.9912494,-1.9913133,-1.9913423,-1.9913449,-1.9912215,-1.9913334,-1.9913691,-1.9912363,-1.9913556,-1.9913172,-1.9912678,-1.9913424,-1.9913128,-1.9912269,-1.9913041,-1.9912209,-1.9913084,-1.9912555,-1.9912094,-1.9913938,-1.9913808,-1.9912915,-1.9913528,-1.9913118,-1.9913663,-1.9912631,-1.9912588,-1.9913377,-1.9912205
44,-1.9911958,-1.9910494,-1.9911133,-1.9911423,-1.9911449,-1.9910215,-1.9911334,-1.9911691,-1.9910363,-1.9911556,-1.9911172,-1.9910678,-1.9911424,-1.9911128,-1.9910269,-1.9911041,-1.9910209,-1.9911084,-1.9910555,-1.9910094,-1.9911938,-1.9911808,-1.9910915,-1.9911528,-1.9911118,-1.9911663,-1.9910631,-1.9910588,-1.9911377,-1.9910205
45,-1.9909958,-1.9908494,-1.9909133,-1.9909423,-1.9909449,-1.9908215,-1.9909334,-1.9909691,-1.9908363,-1.9909556,-1.9909172,-1.9908678,-1.9909424,-1.9909128,-1.9908269,-1.9909041,-1.9908209,-1.9909084,-1.9908555,-1.9908094,-1.9909938,-1.9909808,-1.9908915,-1.9909528,-1.9909118,-1.9909663,-1.9908631,-1.9908588,-1.9909377,-1.9908205
46,-1.9907958,-1.9906494,-1.9907133,-1.9907423,-1.9907449,-1.9906215,-1.9907334,-1.9907691,-1.9906363,-1.9907556,-1.9907172,-1.9906678,-1.9907424,-1.9907128,-1.9906269,-1.9907041,-1.9906209,-1.9907084,-1.9906555,-1.9906094,-1.9907938,-1.9907808,-1.9906915,-1.9907528,-1.9907118,-1.9907663,-1.9906631,-1.9906588,-1.9907377,-1.9906205
47,-1.9905958,-1.9904494,-1.9905133,-1.9905423,-1.9905449,-1.9904215,-1.9905334,-1.9905691,-1.9904363,-1.9905556,-1.9905172,-1.9904678,-1.9905424,-1.9905128,-1.9904269,-1.9905041,-1.9904209,-1.9905084,-1.9904555,-1.9904094,-1.9905938,-1.9905808,-1.9904915,-1.9905528,-1.9905118,-1.9905663,-1.9904631,-1.9904588,-1.9905377,-1.9904205
48,-1.9903958,-1.9902494,-1.9903133,-1.9903423,-1.9903449,-1.9902215,-1.9903334,-1.9903691,-1.9902363,-1.9903556,-1.9903172,-1.9902678,-1.9903424,-1.9903128,-1.9902269,-1.9903041,-1.9902209,-1.9903084,-1.9902555,-1.9902094,-1.9903938,-1.9903808,-1.9902915,-1.9903528,-1.9903118,-1.9903663,-1.9902631,-1.9902588,-1.9903377,-1.9902205
49,-1.9901958,-1.9900494,-1.9901133,-1.9901423,-1.9901449,-1.9900215,-1.9901334,-1.9901691,-1.9900363,-1.9901556,-1.9901172,-1.9900678,-1.9901424,-1.9901128,-1.9900269,-1.9901041,-1.9900209,-1.9901084,-1.9900555,-1.9900094,-1.9901938,-1.9901808,-1.9900915,-1.9901528,-1.9901118,-1.9901663,-1.9900631,-1.9900588,-1.9901377,-1.9900205
50,-1.9899958,-1.9898494,-1.9899133,-1.9899423,-1.9899449,-1.9898215,-1.9899334,-1.9899691,-1.9898363,-1.9899556,-1.9899172,-1.9898678,-1.9899424,-1.9899128,-1.9898269,-1.9899041,-1.9898209,-1.9899084,-1.9898555,-1.9898094,-1.9899938,-1.9899808,-1.9898915,-1.9899528,-1.9899118,-1.9899663,-1.9898631,-1.9898588,-1.9899377,-1.9898205
